G,t,e1,e2,e3,add,e4,trust,advice,survey,patient,male,eng,gt10,uscan,fair,code
5,723.0,85,10,65,FALSE,,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,c0138d08897e35fb655d8d045ed3a5becddd4a1b
5,5343.0,13,14,75,FALSE,,5,96,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,81bb0a771b19c43b919a47aa6fc72550fc5d3d01
5,654.0,20,10,12,FALSE,,6,122,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,d0d90d253c58baed35c4e232e26e7ad8515fcf53
5,73.0,691,667,588,TRUE,674,,0,,,,,,,,
5,1151.0,11,9,9,TRUE,11,8,81,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,bbf539d0867d546622dbfde480d8ccfd2a34079d
6,2822.0,25,11,10,TRUE,12,14,216,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,0e98ecf8039c349c625e63e931b5621f317fc2f7
6,1871.0,14,10,9,FALSE,,15,66,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,ae5e3bfa2199aa684c52607da37c100c24793058
6,986.0,72,13,14,TRUE,12,15,51,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,d439d93aa46fa5ed06ef6fc3a8ca1baef21c4bd3
6,1324.0,15,15,14,TRUE,13,10,206,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,af8afe174fe476c4a040dd7728636e8dc56568d6
6,616.0,12,11,15,FALSE,,10,0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,c0be3a4560cc9ac82e155a75ab94dee8e655bd96
6,447.0,11,667,588,FALSE,,7,0,FALSE,TRUE,,,,,,
6,1407.0,22,14,73,TRUE,21,0,221,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,510b7c6c10ac837d0b302fce14841b1424810eda
6,1277.0,11,10,16,TRUE,12,9,119,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,1557b00cc4cffe1031b1f8bfb77e9a1141a2fe49
6,1045.0,13,12,588,,,,0,,,,,,,,
6,1647.0,91,27,12,TRUE,18,10,159,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,5195592d1262732ba7bef81523ca149652a3631a
6,1103.0,79,14,15,TRUE,15,15,55,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,code: bb3afee9aa64c96aab215f2479ae18ac2b72968c
6,867.0,12,13,10,TRUE,11,7,257,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,84d81d0b0b280cc225303416412d57a1ef7640b8
6,2331.0,11,12,12,TRUE,13,10,73,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,04e0bcab6a4f82552cf480cb8072ac606af04c23
6,1426.0,11,12,14,FALSE,,10,200,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,5e06d2e1ea675e290d419b7485b2585d8075a224
6,2937.0,16,9,9,FALSE,,10,260,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,code: 59fb04741ff9fd7fe1364ba7a98cb9cb194c3a1d
